Date,AdNetworkType,CampaignName,LocationOfPresenceName,Device,Gender,Age,IncomeGrade,WeightedImpressions,Clicks,Sessions,Bounces,Cost,Calls_F,Calls_A,B24_F,B24_A,Forms_F,Forms_A,EMails_F,EMails_A,GoalsFC,GoalsLC
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Новороссийск,DESKTOP,GENDER_MALE,AGE_35_44,OTHER,2.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_35_44,HIGH,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_FEMALE,AGE_55,OTHER,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_MALE,AGE_25_34,OTHER,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Новороссийск,MOBILE,GENDER_MALE,AGE_55,OTHER,1.12,1,2,0,88.36,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,DESKTOP,GENDER_MALE,AGE_35_44,ABOVE_AVERAGE,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Бренд. ТГ,Республика Адыгея,TABLET,GENDER_FEMALE,AGE_55,OTHER,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-29,SEARCH,[поиск] Батарейки. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_55,OTHER,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Армавир,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,DESKTOP,GENDER_FEMALE,AGE_45_54,HIGH,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,DESKTOP,GENDER_MALE,AGE_55,OTHER,1.02,1,1,0,82.01,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_18_24,OTHER,1.26,1,2,2,52.69,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,OTHER,7.28,1,2,0,152.37,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_25_34,VERY_HIGH,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_35_44,OTHER,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_45_54,OTHER,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_FEMALE,AGE_55,OTHER,5.07,2,11,2,162.85,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_18_24,ABOVE_AVERAGE,1.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_35_44,ABOVE_AVERAGE,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_35_44,OTHER,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-06-30,SEARCH,[поиск] Слуховые аппараты. Вендоры. ТГ,Краснодар,MOBILE,GENDER_MALE,AGE_55,OTHER,1.3,1,4,2,66.86,0,0,0,0,0,0,0,0,0,0
